x,y,z
29.98253880443326,29.976354938662396,29.98870376095102
30.233484962438787,30.23025581289907,30.24757856727252
30.4814016963797,30.487186282423387,30.507528820741847
30.72989537256774,30.743039559137255,30.768732654334148
30.977348933492983,30.997491549644213,31.027815385875844
31.228673429475023,31.256457343995848,31.292029568657085
31.480954910782636,31.51018713713182,31.551181238944267
31.72313254920614,31.777244160930493,31.79955084900855
31.945518867277297,32.0113018488523,32.07565158005391
32.18470640303393,32.25651696748238,32.32528969434924
32.42185784077727,32.50041254075676,32.5740791196067
32.743516213577735,32.69522322562735,32.789466558726616
32.98010502163279,32.96770128064067,33.013469808061615
33.24107852438572,33.226164511394785,33.25781676753487
33.49497453009818,33.47970333216237,33.51202111143484
33.74646109981075,33.72968832547859,33.761844837486116
34.002456043452064,33.97709594110069,34.00998477934765
34.26541044248374,34.21024209595359,34.27994580216847
34.53981497270017,34.47746177230531,34.51992082457252
34.792426443738044,34.72255570984481,34.764173746174606
35.03787092510348,34.959592735455196,34.999376213691626
35.275757713470085,35.22023222630746,35.25700967745847
35.51264042217007,35.493296469396945,35.47881706916723
35.71882857506643,35.70441500292895,35.75178201820618
35.972660612495304,35.96566215882206,36.01872035274845
36.228953441570276,36.227466988871754,36.285075802286556
36.50330345846254,36.457723949394676,36.52282122152087
36.747507144151044,36.71558663527303,36.76300317004861
36.99065494371276,36.95859513051859,37.01723642873694
37.23932467163486,37.20638568055525,37.26654226631573
37.497063938093426,37.46625508943383,37.530468672283114
37.76148846053411,37.70531551023446,37.77418141736462
37.99634555895485,37.97733391162296,37.997569131057844
38.22607952305002,38.20938980417187,38.257893734426204
38.475812326811074,38.46225078891947,38.51213926399041
38.730619335795716,38.7210365118228,38.77316965649363
38.97258277981573,38.9772144177645,39.02857115504387
39.20621162775083,39.24735119125328,39.257657874185114
39.499251625567936,39.54562461045191,39.47762035537095
39.74489579796274,39.79295926428287,39.70876816344858
39.98603447630866,40.036624710808574,39.93698362793495
