x,y,z
30.028846195405038,30.03303826140993,30.042740724364222
30.28079286374258,30.280323862221213,30.283288140892328
30.521130828778933,30.539127723542503,30.52400550530188
30.761142511763882,30.788454242343285,30.774390185823425
31.00600043035972,31.04192891854857,31.021092046582357
31.226444022752755,31.2679174107174,31.237376838368014
31.451561278051965,31.532808535707364,31.49276304599325
31.703706213994746,31.768821632270544,31.757318108870653
31.964759501529233,32.03619382733147,31.99306548363577
32.20137839047161,32.27794791853686,32.22575655970328
32.45385942886797,32.540443412623034,32.482848794931876
32.72600117773213,32.77286385480288,32.713740323135184
32.98424641401237,33.00591148709273,32.97871739326122
33.25130233637903,33.27112526649959,33.21449800725474
33.50973696588956,33.53338533664032,33.47455981537945
33.745037384860915,33.76476401939555,33.69808052479357
33.98408543291311,34.022171998323046,33.94832608103876
34.26127805072123,34.22640215413863,34.247174452605414
34.50883437702396,34.46805405908569,34.50093450287023
34.764556025287824,34.7201568037365,34.76142819483473
35.00787905369925,34.95522297788067,35.00129578937553
35.25416639587874,35.2030461116418,35.254765094715076
35.48164843320175,35.48235035525213,35.46551518649844
35.71453046347086,35.717338041546284,35.720920570547534
35.97731266396771,35.992124661070804,36.004438019000474
36.23262343681518,36.251960792464494,36.2676109497008
36.518354701885656,36.4752110069682,36.499709706603745
36.77402199349731,36.71995823452613,36.75504638755024
37.042623002104385,36.98227634802208,36.9972549404675
37.288734578742904,37.21653907051195,37.227494046514614
37.54117499529606,37.462361809169025,37.47313963869243
37.76616479190049,37.73239651106299,37.737929675422635
38.01645245011597,37.982856525087975,37.987083094239885
38.267919258825046,38.233791923154726,38.23613319528942
38.51772769268016,38.482454874126084,38.48366286408608
38.773258286659804,38.73903722843721,38.74093701869442
38.996233591850945,39.01227328283126,39.00843039381618
39.24469930483959,39.26527623331008,39.26113591181446
39.47851404688807,39.50467271572348,39.52249885491253
39.731633471438236,39.768186810025604,39.79174001858633
39.97407167836894,40.01452878001045,40.03858910550967
